Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
757.43	5420	
757.458	5404	
757.487	5332	
757.516	5318	
757.544	5290	
757.573	5202	
757.601	5164	
757.63	5054	
757.659	5028	
757.687	4936	
757.716	4924	
757.745	4886	
757.773	4848	
757.802	4814	
757.83	4764	
757.859	4676	
757.888	4652	
757.916	4676	
757.945	4606	
757.973	4550	
758.002	4446	
758.031	4452	
758.059	4304	
758.088	4250	
758.116	4258	
758.145	4190	
758.174	4126	
758.202	4186	
758.231	4076	
758.259	4068	
758.288	4028	
758.317	4034	
758.345	3978	
758.374	3980	
758.402	3944	
758.431	3888	
758.46	3872	
758.488	3838	
758.517	3804	
758.545	3780	
758.574	3720	
758.603	3682	
758.631	3622	
758.66	3624	
758.688	3614	
758.717	3518	
758.745	3496	
758.774	3464	
758.803	3366	
758.831	3382	
758.86	3396	
758.888	3326	
758.917	3322	
758.945	3272	
758.974	3252	
759.003	3236	
759.031	3246	
759.06	3168	
759.088	3120	
759.117	3070	
759.145	3082	
759.174	2992	
759.203	3036	
759.231	2936	
759.26	2924	
759.288	2908	
759.317	2920	
759.345	2918	
759.374	2908	
759.402	2844	
759.431	2784	
759.459	2782	
759.488	2726	
759.517	2734	
759.545	2738	
759.574	2710	
759.602	2666	
759.631	2660	
759.659	2636	
759.688	2606	
759.716	2566	
759.745	2540	
759.773	2556	
759.802	2484	
759.83	2472	
759.859	2444	
759.888	2450	
759.916	2436	
759.945	2422	
759.973	2408	
760.002	2376	
760.03	2364	
760.059	2328	
760.087	2300	
760.116	2316	
760.144	2264	
760.173	2204	
760.201	2202	
760.23	2200	
760.258	2168	
760.287	2156	
760.315	2166	
760.344	2152	
760.372	2142	
760.401	2110	
760.429	2138	
760.458	2078	
760.486	2058	
760.515	2028	
760.543	2018	
760.572	2044	
760.6	1978	
760.629	1970	
760.657	1960	
760.686	1950	
760.714	1960	
760.743	1942	
760.771	1952	
760.8	1920	
760.828	1850	
760.857	1864	
760.885	1874	
760.914	1868	
760.942	1836	
760.971	1828	
760.999	1828	
761.028	1782	
761.056	1786	
761.085	1778	
761.113	1776	
761.142	1756	
761.17	1756	
761.198	1742	
761.227	1704	
761.255	1714	
761.284	1692	
761.312	1702	
761.341	1690	
761.369	1658	
761.398	1664	
761.426	1642	
761.455	1616	
761.483	1638	
761.512	1628	
761.54	1632	
761.568	1606	
761.597	1592	
761.625	1590	
761.654	1580	
761.682	1560	
761.711	1562	
761.739	1546	
761.768	1526	
761.796	1542	
761.825	1536	
761.853	1524	
761.881	1504	
761.91	1500	
761.938	1494	
761.967	1498	
761.995	1480	
762.024	1464	
762.052	1466	
762.08	1480	
762.109	1468	
762.137	1450	
